factor_type,key,stand,pred_at_p10,pred_at_p50,pred_at_p90,factor,factor_ci_low,factor_ci_high,significant
batter_hit_rate,p10=0.233 vs p90=0.426 (median=0.327),L,0.32413757323418385,0.3370319422251295,0.3507824741303636,0.08220244456797143,-0.14237869506404166,0.380066374002906,no (CIs overlap)
batter_hit_rate,p10=0.237 vs p90=0.417 (median=0.326),R,0.31215525372989933,0.312705787870233,0.3132714253632275,0.0035756938894706547,-0.22057725194128897,0.2921748164916975,no (CIs overlap)
