key,stand,significant,factor,date
American Family Field,L,no (CI overlaps baseline),0.0729118386978853,2026-08-16
loanDepot park,L,no (CI overlaps baseline),0.0302728603310535,2026-08-16
Progressive Field,L,no (CI overlaps baseline),0.0211679585545572,2026-08-16
Coors Field,L,no (CI overlaps baseline),0.0133236301539851,2026-08-16
Citi Field,L,no (CI overlaps baseline),0.0131749203537181,2026-08-16
Chase Field,L,no (CI overlaps baseline),-0.023361190246481,2026-08-16
UNIQLO Field at Dodger Stadium,L,no (CI overlaps baseline),-0.1122678538646673,2026-08-16
Rate Field,L,no (CI overlaps baseline),-0.1432929905425455,2026-08-16
Fenway Park,L,no (CI overlaps baseline),-0.2305925435334676,2026-08-16
Oracle Park,L,no (CI overlaps baseline),-0.2426520247844562,2026-08-16
Target Field,L,no (CI overlaps baseline),-0.2743041964966931,2026-08-16
Comerica Park,L,no (CI overlaps baseline),-0.3068064599420832,2026-08-16
Petco Park,L,no (CI overlaps baseline),-0.3208581634777196,2026-08-16
Kauffman Stadium,L,no (CI overlaps baseline),-0.3242015449224174,2026-08-16
Busch Stadium,L,yes,-0.3441957408095127,2026-08-16
Angel Stadium,L,yes,-0.4113522816193222,2026-08-16
Tropicana Field,R,yes,0.798894249423147,2026-08-16
Daikin Park,R,no (CI overlaps baseline),0.4883611591604708,2026-08-16
Globe Life Field,R,no (CI overlaps baseline),0.3489537051313112,2026-08-16
Chase Field,R,no (CI overlaps baseline),0.3259958628990402,2026-08-16
American Family Field,R,no (CI overlaps baseline),0.2516364273741371,2026-08-16
loanDepot park,R,no (CI overlaps baseline),0.1892766449882317,2026-08-16
Comerica Park,R,no (CI overlaps baseline),0.1709625806126584,2026-08-16
T-Mobile Park,R,no (CI overlaps baseline),0.1517763542588626,2026-08-16
Sutter Health Park,R,no (CI overlaps baseline),0.1185127870889621,2026-08-16
Nationals Park,R,no (CI overlaps baseline),0.1169515216984726,2026-08-16
Coors Field,R,no (CI overlaps baseline),0.0677594099082381,2026-08-16
Progressive Field,R,no (CI overlaps baseline),0.020760395400087,2026-08-16
Citi Field,R,no (CI overlaps baseline),0.0121884651789383,2026-08-16
UNIQLO Field at Dodger Stadium,R,no (CI overlaps baseline),-0.0041906666093014,2026-08-16
Wrigley Field,R,no (CI overlaps baseline),-0.0064356108419804,2026-08-16
Yankee Stadium,R,no (CI overlaps baseline),-0.0197805853834032,2026-08-16
Kauffman Stadium,R,no (CI overlaps baseline),-0.0197934480009048,2026-08-16
Citizens Bank Park,R,no (CI overlaps baseline),-0.0815515894791104,2026-08-16
Great American Ball Park,R,no (CI overlaps baseline),-0.0828464186186044,2026-08-16
Rate Field,R,no (CI overlaps baseline),-0.105288546557995,2026-08-16
Target Field,R,no (CI overlaps baseline),-0.1393629276604,2026-08-16
Rogers Centre,R,no (CI overlaps baseline),-0.1588080405340226,2026-08-16
Petco Park,R,no (CI overlaps baseline),-0.1685676717389294,2026-08-16
Fenway Park,R,no (CI overlaps baseline),-0.1824791280134765,2026-08-16
Oriole Park at Camden Yards,R,no (CI overlaps baseline),-0.21005871918492,2026-08-16
Oracle Park,R,no (CI overlaps baseline),-0.2143506292213375,2026-08-16
Angel Stadium,R,yes,-0.3453619672019126,2026-08-16
Truist Park,R,yes,-0.3590141391912093,2026-08-16
PNC Park,R,yes,-0.432004983687554,2026-08-16
