key,stand,significant,factor,date
Fenway Park,L,no (CI overlaps baseline),-0.0100509841879483,2026-08-20
Truist Park,L,no (CI overlaps baseline),-0.0318969254556605,2026-08-20
T-Mobile Park,L,no (CI overlaps baseline),-0.0348219532800756,2026-08-20
Oracle Park,L,no (CI overlaps baseline),-0.0349913165223622,2026-08-20
Kauffman Stadium,L,no (CI overlaps baseline),-0.0351358297380506,2026-08-20
Comerica Park,L,no (CI overlaps baseline),-0.0351779047674745,2026-08-20
Angel Stadium,L,no (CI overlaps baseline),-0.0490694368545446,2026-08-20
Chase Field,L,no (CI overlaps baseline),-0.0795764864469567,2026-08-20
Globe Life Field,L,no (CI overlaps baseline),-0.0998813173597511,2026-08-20
Target Field,L,no (CI overlaps baseline),-0.1038175038183123,2026-08-20
Oriole Park at Camden Yards,L,yes,-0.119943401438983,2026-08-20
UNIQLO Field at Dodger Stadium,L,yes,-0.1259951096027027,2026-08-20
Rate Field,L,yes,-0.138725976513599,2026-08-20
Petco Park,L,yes,-0.1712827906195418,2026-08-20
Fenway Park,R,yes,0.1342094351130338,2026-08-20
Sutter Health Park,R,no (CI overlaps baseline),0.1160734848796636,2026-08-20
Tropicana Field,R,no (CI overlaps baseline),0.1127487689781783,2026-08-20
Coors Field,R,no (CI overlaps baseline),0.0797163448536066,2026-08-20
American Family Field,R,no (CI overlaps baseline),0.0694022795602899,2026-08-20
Daikin Park,R,no (CI overlaps baseline),0.0492454185694564,2026-08-20
Truist Park,R,no (CI overlaps baseline),0.0449377592045379,2026-08-20
Progressive Field,R,no (CI overlaps baseline),0.02539169717059,2026-08-20
Yankee Stadium,R,no (CI overlaps baseline),0.0253477837190867,2026-08-20
Citizens Bank Park,R,no (CI overlaps baseline),0.0199423951258963,2026-08-20
Rogers Centre,R,no (CI overlaps baseline),0.01873887103196,2026-08-20
Comerica Park,R,no (CI overlaps baseline),0.0118640786033654,2026-08-20
Globe Life Field,R,no (CI overlaps baseline),0.0113309408939563,2026-08-20
Chase Field,R,no (CI overlaps baseline),0.007429670030169,2026-08-20
Rate Field,R,no (CI overlaps baseline),0.0040825151787406,2026-08-20
Wrigley Field,R,no (CI overlaps baseline),-0.007624245098404,2026-08-20
PNC Park,R,no (CI overlaps baseline),-0.0184394798353998,2026-08-20
Target Field,R,no (CI overlaps baseline),-0.0193475355008663,2026-08-20
loanDepot park,R,no (CI overlaps baseline),-0.020044566889836,2026-08-20
Busch Stadium,R,no (CI overlaps baseline),-0.0315053236261199,2026-08-20
Oriole Park at Camden Yards,R,no (CI overlaps baseline),-0.0366400451714639,2026-08-20
Nationals Park,R,no (CI overlaps baseline),-0.0395623739589867,2026-08-20
Petco Park,R,no (CI overlaps baseline),-0.0408052328438816,2026-08-20
Great American Ball Park,R,no (CI overlaps baseline),-0.0492511268802555,2026-08-20
Kauffman Stadium,R,no (CI overlaps baseline),-0.0526201588621206,2026-08-20
T-Mobile Park,R,no (CI overlaps baseline),-0.0604915679870212,2026-08-20
UNIQLO Field at Dodger Stadium,R,no (CI overlaps baseline),-0.0642900496712084,2026-08-20
Angel Stadium,R,no (CI overlaps baseline),-0.0782176661926856,2026-08-20
Citi Field,R,no (CI overlaps baseline),-0.0811129722790243,2026-08-20
Oracle Park,R,no (CI overlaps baseline),-0.1305090981152531,2026-08-20
