factor_type,key,stand,pred_at_p10,pred_at_p50,pred_at_p90,factor,factor_ci_low,factor_ci_high,significant
batter_tb_rate,p10=0.340 vs p90=0.791 (median=0.535),L,0.36907676803202044,0.3912150177978055,0.4208926012775185,0.140393104453008,-0.14614848177145545,0.5303077619114711,no (CIs overlap)
batter_tb_rate,p10=0.344 vs p90=0.745 (median=0.525),R,0.3520012546440712,0.36443689086707237,0.37974120407386763,0.07880639362449404,-0.22574803621268258,0.5079185304212963,no (CIs overlap)
