factor_type,key,stand,factor,factor_ci_low,factor_ci_high,significant,n
weather,temp=80-90 wind=Cross speed=10-15mph,L,0.016656531800662178,-0.13908560536904702,0.17239866897037137,no (CI overlaps baseline),129
weather,temp=80-90 wind=Calm speed=5-10mph,L,0.016225438290654592,-0.18527224224211636,0.21772311882342543,no (CI overlaps baseline),12
weather,temp=80-90 wind=Cross speed=15+mph,L,0.015941013092661604,-0.17553972302085374,0.20742174920617695,no (CI overlaps baseline),22
weather,temp=80-90 wind=Out speed=5-10mph,L,0.01357808679970618,-0.13240615871361017,0.15956233231302241,no (CI overlaps baseline),670
weather,temp=80-90 wind=Cross speed=0-5mph,L,0.00987349729000453,-0.15075445968080992,0.17050145426081897,no (CI overlaps baseline),205
weather,temp=80-90 wind=Varies speed=10-15mph,L,0.00821994129129977,-0.21430515861260835,0.2307450411952081,no (CI overlaps baseline),16
weather,temp=80-90 wind=Out speed=10-15mph,L,0.003692250973828415,-0.15008000861324555,0.15746451056090227,no (CI overlaps baseline),229
weather,temp=80-90 wind=Out speed=15+mph,L,0.0029803366023097855,-0.18410612194491394,0.19006679514953362,no (CI overlaps baseline),75
weather,temp=80-90 wind=Varies speed=0-5mph,L,0.0014591933305150295,-0.22645071288123209,0.22936909954226214,no (CI overlaps baseline),5
weather,temp=80-90 wind=Calm speed=0-5mph,L,-0.0004262508331392967,-0.19215227465538165,0.19129977298910306,no (CI overlaps baseline),53
weather,temp=80-90 wind=Out speed=0-5mph,L,-0.0030563035088209123,-0.16474063926750826,0.15862803224986632,no (CI overlaps baseline),159
weather,temp=<60 wind=Cross speed=5-10mph,L,-0.041562718665951404,-0.20743739146598006,0.12431195413407736,no (CI overlaps baseline),55
weather,temp=60-70 wind=In speed=5-10mph,L,-0.049281129400328805,-0.19893207709849525,0.10036981829783787,no (CI overlaps baseline),150
weather,temp=<60 wind=Cross speed=10-15mph,L,-0.0512181591077292,-0.2197681617379844,0.1173318435225259,no (CI overlaps baseline),50
weather,temp=<60 wind=Cross speed=15+mph,L,-0.05191324327539759,-0.25423040631522864,0.15040391976443357,no (CI overlaps baseline),14
weather,temp=<60 wind=Out speed=5-10mph,L,-0.0542084052413252,-0.21870259747567256,0.11028578699302205,no (CI overlaps baseline),157
weather,temp=90+ wind=In speed=5-10mph,L,-0.05698467293373455,-0.23241986614796173,0.11845052028049263,no (CI overlaps baseline),32
weather,temp=<60 wind=Cross speed=0-5mph,L,-0.057805884745151914,-0.23590542338629883,0.12029365389599489,no (CI overlaps baseline),28
weather,temp=60-70 wind=In speed=10-15mph,L,-0.058901514720814174,-0.21514533821877102,0.09734230877714256,no (CI overlaps baseline),82
weather,temp=<60 wind=Varies speed=10-15mph,L,-0.059411289282029434,-0.28784037708332577,0.16901779851926668,no (CI overlaps baseline),39
weather,temp=60-70 wind=In speed=15+mph,L,-0.0595940420272959,-0.24996360625000769,0.1307755221954161,no (CI overlaps baseline),7
weather,temp=<60 wind=Varies speed=15+mph,L,-0.06010364519220701,-0.3127063378211806,0.1924990474367667,no (CI overlaps baseline),4
weather,temp=<60 wind=Out speed=10-15mph,L,-0.06380605182868215,-0.22973333661815798,0.10212123296079367,no (CI overlaps baseline),161
weather,temp=<60 wind=Out speed=15+mph,L,-0.06449692108061345,-0.26206383176463943,0.13306998960341243,no (CI overlaps baseline),21
weather,temp=60-70 wind=In speed=0-5mph,L,-0.06546482787758656,-0.22721778547056226,0.09628812971538925,no (CI overlaps baseline),82
weather,temp=<60 wind=Varies speed=0-5mph,L,-0.06597296614577453,-0.30314210083188564,0.1711961685403367,no (CI overlaps baseline),6
weather,temp=90+ wind=In speed=10-15mph,L,-0.06656938375165977,-0.24771251427833052,0.11457374677501098,no (CI overlaps baseline),4
weather,temp=70-80 wind=In speed=5-10mph,L,-0.06711207786292661,-0.20472711334614957,0.07050295762029646,no (CI overlaps baseline),513
weather,temp=<60 wind=Calm speed=0-5mph,L,-0.06780226337440698,-0.2653408440709858,0.12973631732217172,no (CI overlaps baseline),29
weather,temp=<60 wind=Out speed=0-5mph,L,-0.07035353667707422,-0.2484295825238002,0.10772250916965165,no (CI overlaps baseline),13
weather,temp=90+ wind=In speed=0-5mph,L,-0.07310786646064504,-0.25719215147026797,0.11097641854897788,no (CI overlaps baseline),12
weather,temp=70-80 wind=In speed=10-15mph,L,-0.07664884536397032,-0.22154549505119236,0.0682478043232515,no (CI overlaps baseline),141
weather,temp=70-80 wind=In speed=15+mph,L,-0.07733527718070032,-0.2591202589627579,0.10444970460135727,no (CI overlaps baseline),19
weather,temp=70-80 wind=In speed=0-5mph,L,-0.08315397829656412,-0.2331908197441167,0.06688286315098857,no (CI overlaps baseline),158
weather,temp=80-90 wind=In speed=5-10mph,L,-0.11162247321677032,-0.2501119473381501,0.026867000904609473,no (CI overlaps baseline),307
weather,temp=80-90 wind=In speed=10-15mph,L,-0.12093446568829735,-0.26858738752276967,0.026718456146175074,no (CI overlaps baseline),87
weather,temp=80-90 wind=In speed=15+mph,L,-0.12160453293780615,-0.30380721533845967,0.06059814946284736,no (CI overlaps baseline),7
weather,temp=80-90 wind=In speed=0-5mph,L,-0.12728351385692227,-0.2779345683958421,0.023367540681997534,no (CI overlaps baseline),141
weather,temp=<60 wind=In speed=5-10mph,L,-0.17520333077516514,-0.32670148960924317,-0.023705171941087122,yes,112
weather,temp=<60 wind=In speed=10-15mph,L,-0.18415449769713266,-0.33863239555194513,-0.029676599842320073,yes,80
weather,temp=<60 wind=In speed=15+mph,L,-0.18479834552817975,-0.37216791631910207,0.0025712252627425602,no (CI overlaps baseline),5
weather,temp=<60 wind=In speed=0-5mph,L,-0.19025373485297536,-0.3523895524533336,-0.028117917252617253,yes,25
weather,temp=80-90 wind=Cross speed=15+mph,R,0.13219764580821391,-0.114933945822563,0.37932923743899094,no (CI overlaps baseline),19
weather,temp=80-90 wind=In speed=15+mph,R,0.1263653573813659,-0.12787527461264936,0.38060598937538126,no (CI overlaps baseline),4
weather,temp=90+ wind=Cross speed=15+mph,R,0.1159655733229652,-0.14574889076226627,0.37768003740819656,no (CI overlaps baseline),5
weather,temp=80-90 wind=Out speed=15+mph,R,0.09432346759389643,-0.14763235038228995,0.3362792855700827,no (CI overlaps baseline),46
weather,temp=60-70 wind=Cross speed=15+mph,R,0.08017489680665801,-0.1755725649503952,0.335922358563711,no (CI overlaps baseline),8
weather,temp=70-80 wind=Cross speed=15+mph,R,0.07864222131705478,-0.15637787430277184,0.3136623169368813,no (CI overlaps baseline),25
weather,temp=90+ wind=Out speed=15+mph,R,0.07824452189534847,-0.17602817504094836,0.3325172188316454,no (CI overlaps baseline),41
weather,temp=60-70 wind=In speed=15+mph,R,0.07441885803182435,-0.18538243735599857,0.3342201534196474,no (CI overlaps baseline),3
weather,temp=70-80 wind=In speed=15+mph,R,0.07288870759379096,-0.16706735573276765,0.31284477092034946,no (CI overlaps baseline),25
weather,temp=<60 wind=Cross speed=15+mph,R,0.0654541120205856,-0.19307439726453723,0.32398262130570843,no (CI overlaps baseline),16
weather,temp=80-90 wind=Cross speed=10-15mph,R,0.06394566543174651,-0.14756183627557484,0.27545316713906787,no (CI overlaps baseline),105
weather,temp=<60 wind=In speed=15+mph,R,0.05972298439278023,-0.20315957397732187,0.32260554276288267,no (CI overlaps baseline),7
weather,temp=80-90 wind=In speed=10-15mph,R,0.05821717355659617,-0.16004569018039694,0.2764800372935894,no (CI overlaps baseline),70
weather,temp=80-90 wind=Cross speed=5-10mph,R,0.05617222870802996,-0.14905061215726412,0.26139506957332426,no (CI overlaps baseline),515
weather,temp=80-90 wind=In speed=5-10mph,R,0.0504575644888694,-0.1608321036579159,0.2617472326356547,no (CI overlaps baseline),262
weather,temp=90+ wind=Cross speed=10-15mph,R,0.04800906609338207,-0.18071594035787897,0.2767340725446432,no (CI overlaps baseline),40
