factor_type,key,stand,factor,factor_ci_low,factor_ci_high,significant
park,Wrigley Field,L,0.3828723327902184,0.014042335956446106,0.8731642031729305,yes
park,Yankee Stadium,L,0.3022443583097816,-0.044314095352581795,0.763316876888807,no (CI overlaps baseline)
park,T-Mobile Park,L,0.2994031676967459,-0.0302947482921071,0.7314184121992306,no (CI overlaps baseline)
park,Nationals Park,L,0.27754266338543276,-0.0423706356990291,0.6952057075936633,no (CI overlaps baseline)
park,Sutter Health Park,L,0.2197390768641143,-0.10911689955732395,0.6598747366151814,no (CI overlaps baseline)
park,Truist Park,L,0.19140935742431853,-0.11220078843120262,0.590561362035791,no (CI overlaps baseline)
park,Rogers Centre,L,0.13633598843232053,-0.24744655464678078,0.6992615052560724,no (CI overlaps baseline)
park,PNC Park,L,0.1326446375640884,-0.14758100568307253,0.4980793460883337,no (CI overlaps baseline)
park,Citizens Bank Park,L,0.1260250846684976,-0.17525071702460493,0.5289382058180556,no (CI overlaps baseline)
park,Daikin Park,L,0.10356322414907604,-0.3091033292490101,0.7413846112123317,no (CI overlaps baseline)
park,Tropicana Field,L,0.09721498949622354,-0.30868640338198505,0.7210583605467358,no (CI overlaps baseline)
park,Oriole Park at Camden Yards,L,0.09138386936020493,-0.235223040792797,0.5467129002947151,no (CI overlaps baseline)
park,Great American Ball Park,L,0.06618619090069955,-0.2566530848551969,0.5186284630798075,no (CI overlaps baseline)
park,loanDepot park,L,0.05868390653225419,-0.33466264455624084,0.6653578503385473,no (CI overlaps baseline)
park,Globe Life Field,L,0.055870619524934106,-0.3270351747875794,0.6389171704262118,no (CI overlaps baseline)
park,Coors Field,L,0.03862752694494698,-0.26525673807830574,0.4590641928158581,no (CI overlaps baseline)
park,American Family Field,L,0.02770101571003991,-0.3240824500520737,0.5484946659158079,no (CI overlaps baseline)
park,Progressive Field,L,0.004416000417240884,-0.28111594683031504,0.3954830211206184,no (CI overlaps baseline)
park,Chase Field,L,-0.017972324148964214,-0.3601715283187047,0.4936960031443203,no (CI overlaps baseline)
park,Citi Field,L,-0.02601290949730284,-0.308391567170323,0.36384549257002763,no (CI overlaps baseline)
park,UNIQLO Field at Dodger Stadium,L,-0.11141201490127095,-0.3686505938876282,0.24417613067793353,no (CI overlaps baseline)
park,Fenway Park,L,-0.12038570689018024,-0.4068841355725882,0.2956365698705292,no (CI overlaps baseline)
park,Rate Field,L,-0.17184135969183967,-0.4168052639388249,0.17006637381409773,no (CI overlaps baseline)
park,Oracle Park,L,-0.2360022002535812,-0.5046914576839643,0.17005013173717942,no (CI overlaps baseline)
park,Comerica Park,L,-0.2776625157470688,-0.5157462928395825,0.0713077125117012,no (CI overlaps baseline)
park,Target Field,L,-0.279532384918463,-0.5086410466039679,0.05088061617458495,no (CI overlaps baseline)
park,Kauffman Stadium,L,-0.3086874719007864,-0.547933633202903,0.0506420177679463,no (CI overlaps baseline)
park,Petco Park,L,-0.335317109452699,-0.5667655310941335,0.013629966834380225,no (CI overlaps baseline)
park,Busch Stadium,L,-0.3462889100589007,-0.5602738001257209,-0.03311325708475832,yes
park,Angel Stadium,L,-0.38074910271008733,-0.6147222148962023,-0.011561943351222292,yes
park,Tropicana Field,R,1.003810209570021,0.28250196472338684,2.069538460251949,yes
park,Daikin Park,R,0.5206600697036918,-0.04000277477382652,1.3711649628252238,no (CI overlaps baseline)
park,Chase Field,R,0.2816268032099105,-0.1696396936913337,0.9550637404910676,no (CI overlaps baseline)
park,Globe Life Field,R,0.2671942330489878,-0.21989836336367807,1.0288026278100402,no (CI overlaps baseline)
park,T-Mobile Park,R,0.21539619156505152,-0.1452550594195836,0.7156418263661752,no (CI overlaps baseline)
park,loanDepot park,R,0.21032136026851211,-0.29495914158858805,1.042342293959849,no (CI overlaps baseline)
park,Comerica Park,R,0.18574902541289484,-0.14717713732731885,0.638384726443578,no (CI overlaps baseline)
park,Sutter Health Park,R,0.16241628525112217,-0.16120650566650097,0.6012733328072957,no (CI overlaps baseline)
park,American Family Field,R,0.16126120098385965,-0.22583205266919282,0.7258733032112159,no (CI overlaps baseline)
park,Nationals Park,R,0.14860564999058945,-0.18507737460079177,0.6083528635548792,no (CI overlaps baseline)
park,Great American Ball Park,R,0.03275372318366543,-0.24934424118355325,0.41367988130657385,no (CI overlaps baseline)
