key,stand,significant,factor,date
temp=60-70 wind=In speed=15+mph,L,no (CI overlaps baseline),-0.0482286557126186,2026-08-22
temp=<60 wind=Cross speed=10-15mph,L,no (CI overlaps baseline),-0.0491280756551295,2026-08-22
temp=60-70 wind=In speed=10-15mph,L,no (CI overlaps baseline),-0.0496575649478657,2026-08-22
temp=<60 wind=Out speed=5-10mph,L,no (CI overlaps baseline),-0.0518034463651181,2026-08-22
temp=<60 wind=Cross speed=0-5mph,L,no (CI overlaps baseline),-0.0535997705668738,2026-08-22
temp=90+ wind=In speed=5-10mph,L,no (CI overlaps baseline),-0.0538870990859403,2026-08-22
temp=60-70 wind=In speed=0-5mph,L,no (CI overlaps baseline),-0.0541281371968925,2026-08-22
temp=<60 wind=Out speed=15+mph,L,no (CI overlaps baseline),-0.0572020844389513,2026-08-22
temp=<60 wind=Out speed=10-15mph,L,no (CI overlaps baseline),-0.0586248887039616,2026-08-22
temp=90+ wind=In speed=10-15mph,L,no (CI overlaps baseline),-0.0607017140339618,2026-08-22
temp=<60 wind=Out speed=0-5mph,L,no (CI overlaps baseline),-0.0630762183895002,2026-08-22
temp=90+ wind=In speed=0-5mph,L,no (CI overlaps baseline),-0.0651485253757295,2026-08-22
temp=<60 wind=Varies speed=15+mph,L,no (CI overlaps baseline),-0.0675345166808019,2026-08-22
temp=<60 wind=Varies speed=10-15mph,L,no (CI overlaps baseline),-0.0689501195214948,2026-08-22
temp=70-80 wind=In speed=5-10mph,L,no (CI overlaps baseline),-0.0712540289841165,2026-08-22
temp=<60 wind=Calm speed=0-5mph,L,no (CI overlaps baseline),-0.0733473358364041,2026-08-22
temp=<60 wind=Varies speed=0-5mph,L,no (CI overlaps baseline),-0.0733787562079826,2026-08-22
temp=70-80 wind=In speed=15+mph,L,no (CI overlaps baseline),-0.0766012184502394,2026-08-22
temp=70-80 wind=In speed=10-15mph,L,no (CI overlaps baseline),-0.0780103504775747,2026-08-22
temp=70-80 wind=In speed=0-5mph,L,no (CI overlaps baseline),-0.0824186012634367,2026-08-22
temp=80-90 wind=In speed=5-10mph,L,no (CI overlaps baseline),-0.1067512768837751,2026-08-22
temp=80-90 wind=In speed=15+mph,L,no (CI overlaps baseline),-0.1119982236083886,2026-08-22
temp=80-90 wind=In speed=10-15mph,L,no (CI overlaps baseline),-0.1133807364443247,2026-08-22
temp=80-90 wind=In speed=0-5mph,L,no (CI overlaps baseline),-0.1177051679626119,2026-08-22
temp=<60 wind=In speed=5-10mph,L,yes,-0.1716510070594761,2026-08-22
temp=<60 wind=In speed=15+mph,L,no (CI overlaps baseline),-0.1766934600515745,2026-08-22
temp=<60 wind=In speed=10-15mph,L,yes,-0.1780217350454025,2026-08-22
temp=<60 wind=In speed=0-5mph,L,yes,-0.1821755550601469,2026-08-22
temp=80-90 wind=Cross speed=15+mph,R,no (CI overlaps baseline),0.1311983029757881,2026-08-22
temp=80-90 wind=In speed=15+mph,R,no (CI overlaps baseline),0.1190202600584637,2026-08-22
temp=90+ wind=Cross speed=15+mph,R,no (CI overlaps baseline),0.110089964321467,2026-08-22
temp=80-90 wind=Out speed=15+mph,R,no (CI overlaps baseline),0.092099621155733,2026-08-22
temp=70-80 wind=Cross speed=15+mph,R,no (CI overlaps baseline),0.0745734865616716,2026-08-22
temp=60-70 wind=Cross speed=15+mph,R,no (CI overlaps baseline),0.0745097914326693,2026-08-22
temp=90+ wind=Out speed=15+mph,R,no (CI overlaps baseline),0.0711995093859847,2026-08-22
temp=80-90 wind=Cross speed=10-15mph,R,no (CI overlaps baseline),0.0629512340903912,2026-08-22
temp=70-80 wind=In speed=15+mph,R,no (CI overlaps baseline),0.0625729038819422,2026-08-22
